t,src_ip,packets,bytes,blocked
71.0,10.0.0.4,11,1078,False
71.1,10.0.0.6,52919,2857626,True
75.1,10.0.0.1,10,980,False
75.2,10.0.0.2,10,980,False
75.3,10.0.0.3,10,980,False
75.3,10.0.0.4,10,980,False
75.4,10.0.0.6,45749,2470446,True
77.4,10.0.0.1,8,728,False
77.5,10.0.0.2,8,728,False
77.6,10.0.0.3,8,728,False
77.7,10.0.0.4,9,770,False
77.7,10.0.0.6,51355,2773170,True
