model,accuracy,precision,recall,f1,type
KNN,0.9886294167991196,0.9779938025803137,0.9288136590673416,0.9495305356256226,Κλασικό ML
Random Forest,0.9899655913227254,0.962233310013596,0.9327992056396914,0.946083052584376,Κλασικό ML
Decision Tree,0.9891621399751978,0.9463735564811054,0.935246257604432,0.94059714572541,Κλασικό ML
MLP (Neural Net),0.7387123818839187,0.8324681164184206,0.7854195334703938,0.7451358415287576,Κλασικό ML
Logistic Regression,0.9253838226817808,0.8780586887855085,0.7369320780486139,0.7429171094212546,Κλασικό ML
SVM (RBF),0.7155782229752152,0.8430341389987369,0.6750707303717828,0.6563303357942285,Κλασικό ML
