model,val_f1,accuracy,precision,recall,f1,train_time_s,pred_time_s
KNN,0.9455903791648008,0.9886294167991196,0.9779938025803137,0.9288136590673417,0.9495305356256226,0.014209726999979466,9.93171716300003
Random Forest,0.9443922981588347,0.9899655913227254,0.9622333100135961,0.9327992056396914,0.9460830525843761,1.504683603999979,0.07852108899999166
Decision Tree,0.9410518532139933,0.9891621399751978,0.9463735564811054,0.935246257604432,0.9405971457254101,0.6640294979999908,0.0041374829999085705
MLP (Neural Net),0.9274489689008968,0.7387123818839187,0.8324681164184206,0.7854195334703938,0.7451358415287576,38.98083954200001,0.044853626000076474
SVM (RBF),0.8476774857836127,0.7155782229752152,0.8430341389987369,0.6750707303717828,0.6563303357942285,103.516632846,73.611370739
Logistic Regression,0.7476037378943697,0.9253838226817809,0.8780586887855085,0.7369320780486139,0.7429171094212546,15.394432287000086,0.005972793000069032
