model,accuracy,precision,recall,f1,train_time_s
Deep MLP,0.9863414634146341,0.985733866189735,0.9817,0.9836495577677546,18.325506985000175
1D-CNN,0.9510569105691057,0.9474353272329171,0.9374857142857144,0.9420455871920806,11.42425236500003
