model,val_f1,accuracy,precision,recall,f1,train_time_s,pred_time_s
Random Forest,1.0,0.9998536728124086,0.9998800959232614,0.9998286203941731,0.9998543034526458,0.2911759720009286,0.03688844099997368
SVM (RBF),0.9973636033383244,0.996780801872988,0.9971405864706393,0.9964352630759195,0.996776555131053,0.10244658300143783,0.10486366000077396
MLP (Neural Net),0.9936645477750717,0.9941469124963418,0.9940715661106019,0.9937552407568576,0.9938818224709296,1.2016055500007496,0.0020163150002190378
Logistic Regression,0.9921131992079445,0.9932689493707931,0.9932848551195719,0.9927783667229241,0.9930043104789104,0.6250121430002764,0.0003266460007580463
Decision Tree,0.9917539275091443,0.9966344746853966,0.9965898431988214,0.9957828684419734,0.9961825267217869,0.06434839699977601,0.00031506599952990655
KNN,0.9892720002206227,0.9888791337430495,0.9886976017938564,0.9876023528849955,0.988016840333148,0.0009642870008974569,0.0413062589996116
