t,phase,is_attack,is_mitigated,queue_depth,queue_pct,response_time_ms,legit_packet_in,attack_packet_in,total_packet_in,flow_table_pct,entropy,window_rate,detected,mitigation_active,legit_drops_cumul
59,4,1,1,0,0.0,0.0,0,80,80,20.0,9.48629754077412,90.0,0,1,0
60,4,1,1,0,0.0,0.0,10,70,80,20.0,9.466853096329674,90.0,0,1,0
61,4,1,1,0,0.0,0.0,10,70,80,20.0,9.427964207440786,90.0,0,1,0
62,4,1,1,0,0.0,0.0,0,80,80,20.0,9.427964207440786,90.0,0,1,0
63,4,1,1,0,0.0,0.0,0,80,80,20.0,9.430741985218564,90.0,0,1,0
64,4,1,1,0,0.0,0.0,0,80,80,20.0,9.430741985218564,90.0,0,1,0
65,4,1,1,0,0.0,0.0,0,80,80,20.0,9.430741985218564,90.0,0,1,0
66,4,1,1,0,0.0,0.0,0,80,80,20.0,9.43351976299634,90.0,0,1,0
67,4,1,1,0,0.0,0.0,0,80,80,20.0,9.43351976299634,90.0,0,1,0
68,4,1,1,0,0.0,0.0,0,80,80,20.0,9.430741985218564,90.0,0,1,0
69,4,1,1,0,0.0,0.0,0,80,80,20.0,9.47240865188523,90.0,0,1,0
70,4,1,1,0,0.0,0.0,0,80,80,20.0,9.48629754077412,90.0,0,1,0
71,4,1,1,0,0.0,0.0,0,80,80,20.0,9.480741985218563,90.0,0,1,0
72,4,1,1,0,0.0,0.0,0,80,80,20.0,9.475186429663008,90.0,0,1,0
73,4,1,1,0,0.0,0.0,0,80,80,20.0,9.477964207440785,90.0,0,1,0
74,4,1,1,0,0.0,0.0,0,80,80,20.0,9.475186429663008,90.0,0,1,0
75,4,1,1,0,0.0,0.0,0,80,80,20.0,9.47240865188523,90.0,0,1,0
76,4,1,1,0,0.0,0.0,0,80,80,20.0,9.47240865188523,90.0,0,1,0
77,4,1,1,0,0.0,0.0,0,80,80,20.0,9.477964207440785,90.0,0,1,0
78,4,1,1,0,0.0,0.0,0,80,80,20.0,9.469630874107452,90.0,0,1,0
79,4,1,1,0,0.0,0.0,0,80,80,20.0,9.475186429663008,90.0,0,1,0
