model,accuracy,precision,recall,f1,type
Random Forest,0.9998373983739838,0.999866755496336,0.999809523809524,0.9998380720798324,Κλασικό ML
MLP (Neural Net),0.99739837398374,0.9973891544797958,0.997352380952381,0.9973701843025014,Κλασικό ML
SVM (RBF),0.9969105691056912,0.9970976364388994,0.996647619047619,0.9968696080609674,Κλασικό ML
Logistic Regression,0.9952845528455284,0.9949683058332464,0.9952190476190476,0.9950911192739912,Κλασικό ML
Decision Tree,0.9957723577235772,0.9955557226174694,0.9942785714285712,0.9949070252461136,Κλασικό ML
KNN,0.9892682926829268,0.9890943223617974,0.9881523809523808,0.9885119680142485,Κλασικό ML
Deep MLP,0.986341463414634,0.985733866189735,0.9817,0.9836495577677546,Deep Learning
1D-CNN,0.9510569105691056,0.9474353272329172,0.9374857142857144,0.9420455871920806,Deep Learning
